stationID;security;stationTypeID;corporationID;solarSystemID;constellationID;regionID;stationName
60000004;0.7080867245;1531;1000002;30002780;20000407;10000033;Muvolailen X - Moon 3 - CBD Corporation Storage
60000007;0.7944237869;1531;1000002;30002779;20000407;10000033;Ono V - Moon 9 - CBD Corporation Storage
60000010;0.8074703590;1531;1000002;30002776;20000407;10000033;Annaro I - CBD Corporation Storage
60000013;0.7944237869;1531;1000002;30002779;20000407;10000033;Ono V - Moon 2 - CBD Corporation Storage
60000016;0.8308547958;1531;1000002;30002778;20000407;10000033;Tasabeshi VIII - Moon 13 - CBD Corporation Storage
60000019;0.8308547958;1531;1000002;30002778;20000407;10000033;Tasabeshi VI - Moon 1 - CBD Corporation Storage
60000022;0.4567548925;1531;1000002;30002650;20000388;10000032;Ney X - Moon 15 - CBD Corporation Storage
60000025;0.5517798187;1531;1000002;30002648;20000388;10000032;Ardene VIII - Moon 5 - CBD Corporation Storage
60000028;0.4480995304;1531;1000002;30002654;20000388;10000032;Schoorasana VI - Moon 1 - CBD Corporation Storage
60000031;0.4480995304;1531;1000002;30002654;20000388;10000032;Schoorasana VI - Moon 6 - CBD Corporation Storage
60000034;0.5517798187;1531;1000002;30002648;20000388;10000032;Ardene VI - Moon 12 - CBD Corporation Storage
60000037;0.4567548925;1531;1000002;30002650;20000388;10000032;Ney X - Moon 12 - CBD Corporation Storage
60000040;0.7795353407;1531;1000002;30003393;20000495;10000042;Eiluvodi VI - Moon 14 - CBD Corporation Storage
60000043;0.7795353407;1531;1000002;30003393;20000495;10000042;Eiluvodi VIII - Moon 2 - CBD Corporation Storage
60000046;0.6045779379;1531;1000002;30003399;20000495;10000042;Vorsk IV - Moon 1 - CBD Corporation Storage
60000049;0.9118980891;1531;1000002;30003397;20000495;10000042;Bongveber IX - Moon 10 - CBD Corporation Storage
60000052;0.9050998520;1531;1000002;30003395;20000495;10000042;Roleinn X - Moon 13 - CBD Corporation Storage
60000055;0.8265758733;1531;1000002;30003394;20000495;10000042;Freatlidur IX - Moon 15 - CBD Corporation Storage
60000058;0.5728197321;1531;1000002;30003082;20000450;10000038;Hatori X - Moon 12 - CBD Corporation Storage
60000061;0.4744237886;1531;1000002;30003084;20000450;10000038;Malpara II - CBD Corporation Storage
60000064;0.5728197321;1531;1000002;30003082;20000450;10000038;Hatori X - Moon 10 - CBD Corporation Storage
60000067;0.7241339263;1531;1000002;30003081;20000450;10000038;Ronne I - Moon 1 - CBD Corporation Storage
60000070;0.5728197321;1531;1000002;30003082;20000450;10000038;Hatori IX - Moon 8 - CBD Corporation Storage
60000073;0.8095908221;1531;1000002;30003083;20000450;10000038;Junsen V - Moon 20 - CBD Corporation Storage
60000076;0.3021467524;1531;1000002;30002414;20000355;10000028;Klingt VII - Moon 2 - CBD Corporation Storage
60000079;0.3020362117;1531;1000002;30002415;20000355;10000028;Weld IV - Moon 14 - CBD Corporation Storage
60000082;0.3021467524;1531;1000002;30002414;20000355;10000028;Klingt IV - Moon 1 - CBD Corporation Storage
60000085;0.0345551972;1531;1000002;30002420;20000355;10000028;Egbinger XI - Moon 3 - CBD Corporation Storage
60000088;0.3021467524;1531;1000002;30002414;20000355;10000028;Klingt V - CBD Corporation Storage
60000091;0.3021467524;1531;1000002;30002414;20000355;10000028;Klingt IX - Moon 3 - CBD Corporation Storage
60000094;0.7090456871;1531;1000002;30003429;20000500;10000042;Geffur VIII - Moon 10 - CBD Corporation Storage
60000097;0.5810701614;1531;1000002;30003432;20000500;10000042;Lumegen V - Moon 2 - CBD Corporation Storage
60000100;0.6713491738;1531;1000002;30003430;20000500;10000042;Oppold IX - Moon 6 - CBD Corporation Storage
60000103;0.5810701614;1531;1000002;30003432;20000500;10000042;Lumegen I - CBD Corporation Storage
60000106;0.6713491738;1531;1000002;30003430;20000500;10000042;Oppold IV - Moon 1 - CBD Corporation Storage
60000109;0.7090456871;1531;1000002;30003429;20000500;10000042;Geffur VII - Moon 3 - CBD Corporation Storage
60000112;0.8000000000;1531;1000002;30005001;20000732;10000064;Arnon VIII - Moon 2 - CBD Corporation Storage
60000115;0.4236857699;1531;1000002;30005003;20000732;10000064;Adirain V - Moon 4 - CBD Corporation Storage
60000118;0.6694961114;1531;1000002;30005004;20000732;10000064;Attyn V - Moon 2 - CBD Corporation Storage
60000121;0.3732625997;1531;1000002;30005007;20000732;10000064;Lisbaetanne I - CBD Corporation Storage
60000124;0.8000000000;1531;1000002;30005001;20000732;10000064;Arnon XII - CBD Corporation Storage
60000127;0.8000000000;1531;1000002;30005001;20000732;10000064;Arnon X - Moon 8 - CBD Corporation Storage
60000130;0.4786732022;1531;1000002;30004250;20000622;10000054;Chibi VI - Moon 13 - CBD Corporation Storage
60000133;0.7518781391;1531;1000002;30004253;20000622;10000054;Pahineh VII - Moon 9 - CBD Corporation Storage
60000136;0.6893498195;1531;1000002;30004249;20000622;10000054;Avada II - CBD Corporation Storage
60000139;0.4985548327;1531;1000002;30004248;20000622;10000054;Haimeh IX - Moon 4 - CBD Corporation Storage
60000142;0.4786732022;1531;1000002;30004250;20000622;10000054;Chibi VIII - Moon 21 - CBD Corporation Storage
